"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Октябрь 2017"	51835.5	39667.5	229.0	6340.2	5154.1	444.8
"Ноябрь 2017"	52585.5	40114.4	224.0	6638.4	5175.6	433.1
"Декабрь 2017"	54667.1	42442.2	217.7	6490.2	5127.2	389.7
"Январь 2018"	54171.0	41597.5	222.9	6886.7	5066.1	397.8
"Февраль 2018"	54047.5	42045.5	216.4	6399.3	4982.0	404.2
"Март 2018"	54727.2	42377.0	235.9	6642.4	5059.1	412.8
"Апрель 2018"	56220.8	43122.0	208.7	7198.3	5287.3	404.6
"Май 2018"	56646.3	43257.4	201.7	7527.1	5257.1	403.1
"Июнь 2018"	57208.1	44126.7	196.6	7241.9	5278.5	364.4
"Июль 2018"	56823.2	43910.3	200.8	7077.0	5324.2	311.0
"Август 2018"	57978.1	44369.1	202.6	7432.9	5700.4	273.0
"Сентябрь 2018"	57613.3	44254.7	214.9	7448.9	5456.9	237.9
"Октябрь 2018"	57519.9	44218.4	220.6	7438.9	5442.0	200.0
"Ноябрь 2018"	58430.0	44891.6	229.9	7558.3	5574.8	175.4
"Декабрь 2018"	61401.6	47109.3	237.0	8009.3	5893.4	152.5
"Январь 2019"	59779.4	45721.2	249.2	7905.5	5770.7	132.9
"Февраль 2019"	60469.3	46212.6	241.0	8054.7	5850.6	110.4
"Март 2019"	60146.8	46141.2	246.4	7823.4	5851.7	84.2
"Апрель 2019"	60481.3	46435.9	256.2	7836.4	5885.9	67.0
"Май 2019"	60959.4	46735.3	260.0	7960.1	5943.9	60.1
"Июнь 2019"	60927.5	47349.4	260.2	7403.3	5858.3	56.3
"Июль 2019"	60924.4	47351.0	262.5	7337.7	5920.5	52.7
"Август 2019"	61867.1	47584.1	268.1	7804.5	6159.5	50.9
"Сентябрь 2019"	61955.1	48266.8	256.0	7362.4	6019.2	50.6
"Октябрь 2019"	61679.4	48082.4	260.1	7337.5	5950.6	48.8
"Ноябрь 2019"	62732.5	49195.3	247.9	7319.9	5924.3	45.1
"Декабрь 2019"	64535.5	51660.3	235.9	6794.1	5807.9	37.3
"Январь 2020"	63918.1	50622.9	244.5	7127.8	5885.3	37.5
"Февраль 2020"	65483.6	51314.2	259.1	7738.3	6136.8	35.2
"Март 2020"	68322.7	52327.0	325.6	8894.6	6745.8	29.7
